Team,MP,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,off_eFG%,off_TOV%,off_ORB%,off_FT/FGA,def_eFG%,def_TOV%,def_DR,def_FT/FGA,Attend./G,win_perc,FG%,Dist.,fga_perc_2P,fga_perc_0-3,fga_perc_3-10,fga_perc_10-16,fga_perc_16-3P,fga_perc_3P,fg_perc_2P,fg_perc_0-3,fg_perc_3-10,fg_perc_10-16,fg_perc_16-3P,fg_perc_3P,fg_ast_perc_2P,fg_ast_perc_3P,dunks_%FGA,dunks_Md.,layups_%FGA,layups_Md.,corner_%3PA,corner_3P%,heave_Att.,heave_Md.,Year
Atlanta Hawks,19855,18.2,22.2,0.818,11.0,32.6,43.7,24.6,7.0,4.8,12.7,18.5,116.6,24.9,42,40,0.29,0.02,0.32,116.6,116.3,0.3,100.7,0.244,0.331,0.579,0.541,11.2,25.1,0.2,0.552,12.4,75.8,0.206,17556,0.5,0.483,13.3,0.669,0.254,0.188,0.135,0.092,0.331,0.548,0.698,0.442,0.486,0.438,0.352,0.495,0.765,0.065,455,0.245,1039,0.267,0.362,8.0,0.0,2023
Boston Celtics,19980,17.5,21.6,0.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,118.0,27.4,57,25,6.52,-0.15,6.38,118.0,111.5,6.5,98.5,0.243,0.48,0.6,0.566,12.0,22.1,0.197,0.528,11.3,78.5,0.18,18689,0.695,0.475,15.5,0.52,0.214,0.194,0.065,0.048,0.48,0.567,0.73,0.465,0.461,0.391,0.377,0.513,0.825,0.051,337,0.276,1183,0.224,0.402,12.0,0.0,2023
Brooklyn Nets,19730,17.9,22.4,0.8,8.3,32.8,41.1,25.9,7.2,6.3,13.9,21.4,115.0,28.0,43,39,0.85,0.18,1.03,115.0,114.1,0.9,98.3,0.26,0.397,0.598,0.562,12.7,19.6,0.208,0.53,12.2,73.7,0.212,17669,0.549,0.487,14.6,0.603,0.222,0.177,0.122,0.082,0.397,0.559,0.701,0.459,0.489,0.494,0.378,0.525,0.82,0.059,373,0.222,891,0.243,0.392,6.0,0.0,2023
Charlotte Hornets,19830,17.4,23.2,0.749,10.8,33.0,43.8,24.7,7.6,5.1,14.0,19.9,109.2,25.3,26,56,-6.24,0.35,-5.89,109.2,115.3,-6.1,100.8,0.261,0.36,0.55,0.516,12.3,23.8,0.195,0.544,12.5,75.5,0.211,17123,0.329,0.457,13.1,0.64,0.287,0.208,0.087,0.058,0.36,0.528,0.688,0.384,0.439,0.385,0.33,0.536,0.817,0.073,482,0.287,1149,0.261,0.354,10.0,0.0,2023
Chicago Bulls,19905,17.7,21.9,0.809,8.5,34.0,42.5,24.5,7.9,4.5,13.4,19.0,113.5,27.5,44,38,1.29,0.07,1.37,113.5,112.2,1.3,98.5,0.251,0.333,0.587,0.55,12.2,20.1,0.203,0.544,13.5,77.8,0.197,20528,0.488,0.49,13.6,0.667,0.281,0.146,0.116,0.125,0.333,0.555,0.683,0.474,0.464,0.446,0.361,0.474,0.886,0.054,329,0.273,1163,0.262,0.397,4.0,0.0,2023
Cleveland Cavaliers,19880,18.2,23.3,0.78,10.0,32.5,42.5,25.8,7.4,4.8,13.8,19.7,116.1,25.4,55,27,5.38,-0.15,5.23,116.1,110.6,5.5,95.7,0.264,0.371,0.59,0.556,12.3,23.6,0.206,0.535,14.4,76.3,0.21,18958,0.622,0.488,13.4,0.629,0.282,0.198,0.094,0.055,0.371,0.559,0.715,0.442,0.447,0.374,0.367,0.551,0.726,0.085,543,0.242,992,0.241,0.367,12.0,0.0,2023
Dallas Mavericks,19930,19.4,25.7,0.755,7.8,31.9,39.7,23.4,6.4,3.8,12.5,21.2,116.8,27.8,41,41,0.07,-0.22,-0.14,116.8,116.7,0.1,96.6,0.298,0.487,0.599,0.565,11.4,18.0,0.225,0.549,11.9,75.5,0.226,20178,0.463,0.475,15.6,0.513,0.218,0.169,0.08,0.046,0.487,0.574,0.708,0.499,0.47,0.396,0.371,0.448,0.776,0.05,304,0.226,937,0.271,0.403,26.0,1.0,2023
Denver Nuggets,19755,17.1,22.7,0.751,10.3,33.4,43.7,29.3,7.7,4.6,14.8,18.9,117.6,26.6,49,33,3.33,-0.29,3.04,117.6,114.2,3.4,98.1,0.259,0.361,0.601,0.573,13.1,24.8,0.194,0.543,12.2,76.4,0.201,19235,0.646,0.504,13.4,0.639,0.262,0.216,0.083,0.078,0.361,0.575,0.759,0.475,0.399,0.422,0.379,0.604,0.819,0.081,518,0.282,1200,0.255,0.4,27.0,2.0,2023
Detroit Pistons,19805,19.9,25.8,0.771,11.2,31.4,42.6,23.1,7.0,3.8,15.1,22.2,110.7,24.1,22,60,-8.22,0.49,-7.73,110.7,118.9,-8.2,99.0,0.295,0.372,0.561,0.52,13.3,24.9,0.227,0.557,11.9,74.0,0.231,18596,0.207,0.454,13.9,0.628,0.22,0.227,0.112,0.069,0.372,0.516,0.676,0.433,0.43,0.413,0.351,0.475,0.843,0.061,404,0.253,959,0.266,0.373,13.0,0.0,2023
Golden State Warriors,19830,15.6,19.7,0.794,10.3,33.3,43.6,29.1,7.0,3.8,15.9,20.9,116.1,27.3,45,37,1.8,-0.15,1.66,116.1,114.4,1.7,101.6,0.224,0.479,0.6,0.571,14.1,24.4,0.178,0.54,12.3,76.0,0.214,18064,0.537,0.479,16.0,0.521,0.177,0.21,0.069,0.065,0.479,0.564,0.71,0.54,0.407,0.413,0.385,0.606,0.828,0.056,374,0.273,1213,0.199,0.395,23.0,1.0,2023
