Team,MP,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,off_eFG%,off_TOV%,off_ORB%,off_FT/FGA,def_eFG%,def_TOV%,def_DR,def_FT/FGA,Attend./G,win_perc,FG%,Dist.,fga_perc_2P,fga_perc_0-3,fga_perc_3-10,fga_perc_10-16,fga_perc_16-3P,fga_perc_3P,fg_perc_2P,fg_perc_0-3,fg_perc_3-10,fg_perc_10-16,fg_perc_16-3P,fg_perc_3P,fg_ast_perc_2P,fg_ast_perc_3P,dunks_%FGA,dunks_Md.,layups_%FGA,layups_Md.,corner_%3PA,corner_3P%,heave_Att.,heave_Md.,Year,Playoff
Atlanta Hawks,19855,19.5,25.7,0.759,13.0,32.9,45.9,24.0,7.9,5.5,13.1,21.9,111.9,26.5,54,28,4.66,-0.22,4.44,111.9,106.7,5.2,90.1,0.281,0.214,0.545,0.506,11.4,28.2,0.213,0.496,13.2,72.7,0.208,16546.0,0.646,0.468,12.3,0.786,0.296,0.167,0.087,0.237,0.214,0.497,0.638,0.435,0.417,0.394,0.36,0.51,0.828,0.057,366,0.219,855,0.388,0.36,18.0,1.0,2010,0.5
Boston Celtics,19780,20.6,27.7,0.746,9.5,32.4,41.9,25.6,9.3,5.3,16.1,24.0,107.7,29.4,52,30,3.66,-0.29,3.37,107.7,103.8,3.9,91.6,0.332,0.228,0.564,0.522,14.5,22.8,0.248,0.487,14.9,73.8,0.251,18624.0,0.61,0.483,11.9,0.772,0.339,0.139,0.107,0.188,0.228,0.523,0.65,0.419,0.423,0.425,0.348,0.585,0.89,0.036,206,0.299,1164,0.214,0.339,11.0,0.0,2010,1.0
Charlotte Bobcats,19880,21.9,29.1,0.751,11.5,33.3,44.7,22.2,8.4,6.0,17.2,21.3,104.4,27.4,45,37,1.46,-0.17,1.3,104.4,102.8,1.6,90.4,0.346,0.211,0.538,0.49,15.1,26.5,0.26,0.491,14.7,74.2,0.194,15818.0,0.537,0.453,11.0,0.789,0.408,0.098,0.08,0.203,0.211,0.482,0.58,0.398,0.365,0.372,0.346,0.526,0.861,0.056,302,0.333,1129,0.286,0.378,19.0,1.0,2010,0.25
Chicago Bulls,19905,19.2,25.4,0.754,12.1,35.2,47.3,22.1,6.9,6.2,15.2,21.3,103.5,26.2,36,46,-1.63,0.0,-1.64,103.5,105.3,-1.8,93.1,0.287,0.156,0.52,0.477,13.3,26.6,0.217,0.484,12.3,74.8,0.212,20726.0,0.5,0.451,11.9,0.844,0.331,0.105,0.108,0.3,0.156,0.474,0.575,0.432,0.418,0.398,0.33,0.51,0.884,0.049,302,0.255,915,0.308,0.393,9.0,0.0,2010,0.25
Cleveland Cavaliers,19780,20.8,29.0,0.72,10.5,35.8,46.3,24.4,7.5,5.6,15.1,21.1,111.2,28.0,59,23,6.52,-0.36,6.17,111.2,104.1,7.1,91.4,0.341,0.248,0.57,0.532,13.4,25.1,0.246,0.482,12.3,77.2,0.218,20562.0,0.744,0.485,12.5,0.752,0.339,0.119,0.08,0.214,0.248,0.52,0.667,0.443,0.369,0.387,0.381,0.551,0.762,0.073,427,0.248,966,0.329,0.412,12.0,1.0,2010,0.5
Dallas Mavericks,19880,19.9,24.4,0.816,10.9,33.8,44.6,25.0,8.1,5.9,13.8,20.4,109.2,30.7,49,33,2.72,-0.06,2.66,109.2,106.3,2.9,92.5,0.277,0.222,0.552,0.506,12.3,24.3,0.226,0.495,13.6,73.7,0.206,19994.0,0.671,0.464,12.7,0.778,0.282,0.127,0.142,0.229,0.222,0.491,0.6,0.422,0.41,0.444,0.372,0.556,0.864,0.038,235,0.224,853,0.221,0.399,13.0,0.0,2010,0.25
Denver Nuggets,19780,24.8,32.1,0.772,11.4,32.1,43.5,22.0,8.7,5.3,14.5,23.6,111.8,27.7,52,30,4.09,0.06,4.15,111.8,107.5,4.3,94.8,0.376,0.227,0.561,0.509,12.7,26.1,0.29,0.495,13.8,72.4,0.251,17983.0,0.646,0.468,12.0,0.773,0.351,0.11,0.094,0.218,0.227,0.5,0.623,0.388,0.4,0.401,0.359,0.503,0.772,0.066,407,0.265,998,0.214,0.4,16.0,0.0,2010,0.25
Detroit Pistons,19780,19.9,27.4,0.728,14.4,30.7,45.2,21.8,8.2,4.3,15.1,25.0,105.6,26.7,26,56,-5.11,0.09,-5.02,105.6,111.4,-5.8,88.5,0.303,0.18,0.515,0.474,12.8,30.3,0.22,0.526,14.2,73.4,0.264,18752.0,0.329,0.445,11.8,0.82,0.319,0.125,0.145,0.23,0.18,0.474,0.588,0.395,0.414,0.396,0.314,0.49,0.89,0.045,264,0.251,894,0.322,0.334,14.0,0.0,2010,0.0
Golden State Warriors,19730,19.8,25.3,0.782,9.1,29.1,38.2,22.3,9.2,4.1,14.6,22.9,108.1,25.1,32,50,-3.6,0.32,-3.28,108.1,111.7,-3.6,100.4,0.294,0.238,0.557,0.514,13.1,20.9,0.23,0.525,15.1,68.5,0.26,18027.0,0.317,0.469,13.3,0.762,0.298,0.113,0.095,0.256,0.238,0.499,0.651,0.367,0.393,0.419,0.375,0.481,0.858,0.039,262,0.246,1063,0.253,0.433,20.0,0.0,2010,0.0
Houston Rockets,19905,20.0,25.9,0.772,12.4,31.7,44.1,22.9,7.5,4.1,15.2,21.9,107.6,26.0,40,42,-0.37,0.35,-0.02,107.6,108.0,-0.4,94.0,0.292,0.265,0.537,0.494,13.2,26.9,0.225,0.511,13.6,73.8,0.215,16528.0,0.512,0.447,12.0,0.735,0.346,0.134,0.089,0.165,0.265,0.481,0.572,0.427,0.382,0.388,0.351,0.507,0.85,0.031,196,0.301,1125,0.24,0.395,15.0,0.0,2010,0.0
